"Qty";"Value";"Device";"Package";"Parts";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DATASHEET-URL";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"GERDER";"HEIGHT";"INTERFACE";"IPC_LAND_PATTERN_NAME";"IR";"LEAD_FREE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_COMPONENT_ID";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUNT";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NOMINAL_SUPPLY_CURRENT";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"PARTNUMBER";"PARTREV";"PINS";"POPULARITY";"PREFIX";"PRICE";"PURCHASE-URL";"RATED-CURRENT";"REFDES";"ROHS";"SPICEPREFIX";"STANDARD";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VALUE";"VERIFICATION_VERSION";"WORKING-VOLTAGE";
"2";"";"685119134923";"685119134923";"J3, J4";"WR-COM HDMI SMT Horizontal";"";"";"";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/685119134923.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"Receptacle";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SMT";"";"";"";"";"";"";"";"";"";"685119134923";"";"";" 19 ";"";"";"";"";"0.5A";"";"";"";"";"";"";"Horizontal";"";"";"40VDC";
"1";"";"694106301002";"694106301002";"J1";"WR-DC DC Power Jack Right Angled (6.4)";"";"";"";"";"";"";"";"";"https://katalog.we-online.com/em/datasheet/694106301002.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"THT";"";"";"";"";"";"";"";"";"";" 694106301002 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Right Angled";"";"";"30V(AC)";
"1";"";"M05";"05P";"EXT_CONNECTOR";"AMP QUICK CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MTA06-100";"10X06MTA";"JTAG_EMISSION, JTAG_RECEPTION";"AMP connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0R";"R-EU_R0603";"R0603";"R17, R18, R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"1";"1.5k";"R-EU_R0603";"R0603";"R37";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"16";"100nF";"C-EUC0603";"C0603";"C1, C4, C7, C8, C10, C11, C13, C16, C17, C19, C21, C22, C23, C31, C33, C35";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
"5";"10uF";"C-EUC0603";"C0603";"C3, C5, C6, C12, C34";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
"3";"10uF";"C-EUC0805";"C0805";"C2, C9, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
"3";"1k";"R-EU_R0603";"R0603";"R2, R29, R42";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
